epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6830357313156128,0.5975691676139832,1e-04,0.5714285969734192,0.9472184777259827
1,0.8897168636322021,0.2748071849346161,1e-04,0.7291666865348816,0.584336519241333
2,0.9597615599632263,0.13278910517692566,1e-04,0.800595223903656,0.5318185091018677
3,0.9694485664367676,0.0878371000289917,1e-04,0.8273809552192688,0.577019453048706
4,0.9821162223815918,0.05333155021071434,1e-04,0.8333333134651184,0.5244057178497314
5,0.9828613996505737,0.045485783368349075,1e-04,0.8422619104385376,0.46237891912460327
6,0.9843516945838928,0.03973538428544998,1e-04,0.8333333134651184,0.4827083349227905
7,0.9769001603126526,0.05152030661702156,1e-04,0.8214285969734192,0.5798816084861755
8,0.9724292159080505,0.0707380399107933,1e-04,0.8452380895614624,0.49192604422569275
9,0.9716840386390686,0.06635388731956482,1e-04,0.7946428656578064,0.7571814656257629
10,0.9500744938850403,0.12832054495811462,1e-04,0.761904776096344,1.0308092832565308
11,0.9746646881103516,0.08420129865407944,1e-04,0.836309552192688,0.6478726863861084
12,0.9657227993011475,0.07491397112607956,1e-04,0.7976190447807312,0.6750935316085815
13,0.9836065769195557,0.033506158739328384,1e-05,0.8422619104385376,0.4915194809436798
14,0.9813711047172546,0.03567977994680405,1e-05,0.8601190447807312,0.434814989566803
15,0.9903129935264587,0.023442398756742477,1e-05,0.8660714030265808,0.4151481091976166
16,0.9873323440551758,0.024465641006827354,1e-05,0.8779761791229248,0.3904643654823303
17,0.9821162223815918,0.02735074609518051,1e-05,0.8779761791229248,0.4075903594493866
18,0.9843516945838928,0.024848034605383873,1e-05,0.8720238208770752,0.4191313683986664
19,0.9858420491218567,0.021918587386608124,1e-05,0.8809523582458496,0.4096372723579407
20,0.9895678162574768,0.02185547538101673,1e-05,0.875,0.4163167476654053
21,0.9850968718528748,0.022233588621020317,1e-05,0.8660714030265808,0.41985613107681274
22,0.992548406124115,0.019195344299077988,1e-05,0.8720238208770752,0.4311264157295227
23,0.9932935833930969,0.015445909462869167,1e-05,0.875,0.4354272186756134
24,0.9888226389884949,0.020735401660203934,1e-06,0.8720238208770752,0.44693583250045776
25,0.9895678162574768,0.02593296207487583,1e-06,0.8720238208770752,0.4592592120170593
26,0.9850968718528748,0.03483041003346443,1e-06,0.875,0.4586779773235321
27,0.9888226389884949,0.018682364374399185,1e-06,0.8690476417541504,0.4405255615711212
28,0.9895678162574768,0.019770408049225807,1e-06,0.875,0.4423213601112366
29,0.9836065769195557,0.03340074419975281,1e-06,0.8690476417541504,0.42207396030426025
30,0.9865871667861938,0.016025060787796974,1e-06,0.8779761791229248,0.4172671139240265
31,0.9903129935264587,0.017741860821843147,1e-07,0.8720238208770752,0.44613906741142273
32,0.9895678162574768,0.01910313032567501,1e-07,0.875,0.45387759804725647
33,0.9858420491218567,0.020952582359313965,1e-07,0.8720238208770752,0.4352565109729767
34,0.9873323440551758,0.016814902424812317,1e-07,0.875,0.44015946984291077
35,0.9850968718528748,0.024903450161218643,1e-07,0.8720238208770752,0.4486449956893921
36,0.9903129935264587,0.022883322089910507,1e-07,0.875,0.42806631326675415
37,0.9873323440551758,0.025400854647159576,1e-07,0.8720238208770752,0.44679033756256104
38,0.9880775213241577,0.022835996001958847,1e-08,0.8720238208770752,0.4405474364757538
39,0.9903129935264587,0.019566861912608147,1e-08,0.8690476417541504,0.4552391469478607
40,0.9910581111907959,0.01873781904578209,1e-08,0.8690476417541504,0.44659700989723206
41,0.9888226389884949,0.01931469701230526,1e-08,0.8720238208770752,0.4412587881088257
42,0.9880775213241577,0.017959922552108765,1e-08,0.875,0.4406793713569641
43,0.9918032884597778,0.018446682021021843,1e-08,0.875,0.4374642074108124
44,0.9865871667861938,0.025394119322299957,1e-08,0.8720238208770752,0.43738800287246704
45,0.9910581111907959,0.017186244949698448,1e-09,0.8720238208770752,0.4456230401992798
46,0.9888226389884949,0.01952536217868328,1e-09,0.8779761791229248,0.4299250543117523
47,0.9910581111907959,0.01755368337035179,1e-09,0.8779761791229248,0.439303457736969
48,0.9895678162574768,0.01820463314652443,1e-09,0.8720238208770752,0.4460623264312744
49,0.9910581111907959,0.019710607826709747,1e-09,0.8690476417541504,0.4544850289821625
50,0.9895678162574768,0.019297201186418533,1e-09,0.875,0.4431068003177643
51,0.9903129935264587,0.020490508526563644,1e-09,0.8720238208770752,0.4435214102268219
52,0.9903129935264587,0.018193574622273445,9.9999994e-11,0.8779761791229248,0.432622492313385
53,0.9910581111907959,0.019710753113031387,9.9999994e-11,0.8720238208770752,0.450958251953125
54,0.992548406124115,0.016227159649133682,9.9999994e-11,0.875,0.45268014073371887
55,0.9918032884597778,0.01800554059445858,9.9999994e-11,0.875,0.4278600811958313
56,0.9873323440551758,0.02515535242855549,9.9999994e-11,0.875,0.4396340548992157
57,0.9873323440551758,0.02415783330798149,9.9999994e-11,0.8720238208770752,0.4404776990413666
58,0.9880775213241577,0.02015455812215805,9.9999994e-11,0.8720238208770752,0.4500504434108734
59,0.9873323440551758,0.021263325586915016,9.999999e-12,0.875,0.4416019320487976
60,0.9858420491218567,0.02658308483660221,9.999999e-12,0.875,0.447467565536499
61,0.9910581111907959,0.016650980338454247,9.999999e-12,0.8779761791229248,0.4353177547454834
62,0.9888226389884949,0.027298644185066223,9.999999e-12,0.8720238208770752,0.4484763741493225
63,0.9836065769195557,0.03834523633122444,9.999999e-12,0.8720238208770752,0.44839754700660706
64,0.9880775213241577,0.021533852443099022,9.999999e-12,0.875,0.44244590401649475
65,0.9843516945838928,0.02942037023603916,9.999999e-12,0.8779761791229248,0.41982921957969666
66,0.9910581111907959,0.01723022200167179,9.999999e-13,0.8779761791229248,0.4344801604747772
67,0.9865871667861938,0.021377524361014366,9.999999e-13,0.875,0.43181881308555603
68,0.9918032884597778,0.016281234100461006,9.999999e-13,0.8779761791229248,0.4321080148220062
69,0.9918032884597778,0.017189649865031242,9.999999e-13,0.8720238208770752,0.4457811117172241
70,0.9895678162574768,0.017388343811035156,9.999999e-13,0.8690476417541504,0.46101945638656616
71,0.9903129935264587,0.02488888055086136,9.999999e-13,0.8720238208770752,0.4420366883277893
72,0.9888226389884949,0.021932188421487808,9.999999e-13,0.8720238208770752,0.4476894736289978
73,0.9903129935264587,0.01907183602452278,9.999999e-14,0.8720238208770752,0.4440656900405884
74,0.9895678162574768,0.020231835544109344,9.999999e-14,0.8720238208770752,0.4469777047634125
75,0.9865871667861938,0.021540356799960136,9.999999e-14,0.8720238208770752,0.44742560386657715
76,0.992548406124115,0.016321174800395966,9.999999e-14,0.8779761791229248,0.4248742461204529
77,0.9918032884597778,0.015598022378981113,9.999999e-14,0.8690476417541504,0.453838974237442
78,0.9888226389884949,0.017471447587013245,9.999999e-14,0.875,0.4406965672969818
79,0.9873323440551758,0.01864602044224739,9.999999e-14,0.8720238208770752,0.4456104040145874
80,0.9880775213241577,0.023355545476078987,9.999999e-15,0.8809523582458496,0.4230820834636688
81,0.9865871667861938,0.018949242308735847,9.999999e-15,0.875,0.4396774172782898
82,0.9865871667861938,0.026272961869835854,9.999999e-15,0.875,0.43853509426116943
83,0.9880775213241577,0.018934551626443863,9.999999e-15,0.875,0.4413142800331116
84,0.9858420491218567,0.02253386378288269,9.999999e-15,0.875,0.44021329283714294
85,0.9888392686843872,0.016447653993964195,9.999999e-15,0.8779761791229248,0.431320458650589
86,0.9903129935264587,0.023580579087138176,9.999999e-15,0.8720238208770752,0.44485706090927124
87,0.9903129935264587,0.022838473320007324,9.999999e-16,0.875,0.4436263144016266
88,0.9836065769195557,0.027919957414269447,9.999999e-16,0.875,0.42492803931236267
89,0.9850968718528748,0.025484366342425346,9.999999e-16,0.875,0.4321853220462799
90,0.9873323440551758,0.02951575070619583,9.999999e-16,0.875,0.4435187876224518
91,0.9880775213241577,0.019999530166387558,9.999999e-16,0.875,0.4426109790802002
92,0.9910581111907959,0.02064325101673603,9.999999e-16,0.8720238208770752,0.44866466522216797
93,0.9880775213241577,0.01774735003709793,9.999999e-16,0.8779761791229248,0.43599656224250793
94,0.9903129935264587,0.016614358872175217,9.999999e-17,0.875,0.44142165780067444
95,0.9910581111907959,0.019410409033298492,9.999999e-17,0.8720238208770752,0.4470865726470947
96,0.9918032884597778,0.016055848449468613,9.999999e-17,0.875,0.4401308596134186
97,0.9858420491218567,0.025405466556549072,9.999999e-17,0.8720238208770752,0.4471321702003479
98,0.9888226389884949,0.021720126271247864,9.999999e-17,0.875,0.443108469247818
99,0.9903129935264587,0.019090106710791588,9.999999e-17,0.875,0.4433847665786743
100,0.9873323440551758,0.020413512364029884,9.999999e-17,0.8720238208770752,0.4464617669582367
101,0.9903129935264587,0.021978752687573433,9.999999e-18,0.875,0.44283527135849
102,0.9895678162574768,0.01683690771460533,9.999999e-18,0.8720238208770752,0.4415799081325531
103,0.9888226389884949,0.02555438131093979,9.999999e-18,0.8720238208770752,0.45230016112327576
104,0.9910581111907959,0.02288239262998104,9.999999e-18,0.8779761791229248,0.43431222438812256
105,0.9888226389884949,0.01828651875257492,9.999999e-18,0.8720238208770752,0.4460509121417999
106,0.9873323440551758,0.023971443995833397,9.999999e-18,0.8720238208770752,0.4420698285102844
107,0.9918032884597778,0.023377642035484314,9.999999e-18,0.875,0.44034630060195923
108,0.9850968718528748,0.020369965583086014,9.999999e-19,0.8720238208770752,0.4497984051704407
109,0.9918032884597778,0.017824750393629074,9.999999e-19,0.875,0.4247903823852539
110,0.9776452779769897,0.04317735135555267,9.999999e-19,0.875,0.4453357458114624
111,0.9858420491218567,0.023765938356518745,9.999999e-19,0.8779761791229248,0.42607274651527405
112,0.9850968718528748,0.022153642028570175,9.999999e-19,0.8720238208770752,0.44772830605506897
113,0.992548406124115,0.01739192195236683,9.999999e-19,0.8720238208770752,0.4515268802642822
114,0.9910581111907959,0.018017994239926338,9.999999e-19,0.875,0.44403204321861267
115,0.9850968718528748,0.026470713317394257,1e-19,0.8779761791229248,0.4390925467014313
116,0.9918032884597778,0.016501829028129578,1e-19,0.8809523582458496,0.4241776168346405
117,0.9836065769195557,0.02873128280043602,1e-19,0.875,0.4411216974258423
118,0.9918032884597778,0.014113018289208412,1e-19,0.875,0.4463145434856415
119,0.9910581111907959,0.01843634434044361,1e-19,0.875,0.4354461133480072
120,0.9858420491218567,0.023871511220932007,1e-19,0.8779761791229248,0.4381994605064392
121,0.9858420491218567,0.01844838634133339,1e-19,0.8720238208770752,0.44142141938209534
122,0.9880775213241577,0.020492486655712128,1e-20,0.875,0.4420607388019562
123,0.9880775213241577,0.022463979199528694,1e-20,0.875,0.44384339451789856
124,0.9858420491218567,0.029350994154810905,1e-20,0.8720238208770752,0.4457165002822876
125,0.9858420491218567,0.031063975766301155,1e-20,0.8720238208770752,0.44138291478157043
126,0.9873323440551758,0.024441860616207123,1e-20,0.875,0.44040679931640625
127,0.9865871667861938,0.021461136639118195,1e-20,0.8720238208770752,0.45202410221099854
128,0.9865871667861938,0.022911248728632927,1e-20,0.875,0.4357409179210663
129,0.9910581111907959,0.02259981818497181,1e-21,0.8779761791229248,0.4427729547023773
130,0.9873323440551758,0.02069287933409214,1e-21,0.8720238208770752,0.44510459899902344
131,0.9880775213241577,0.02252795174717903,1e-21,0.8720238208770752,0.4514508843421936
132,0.992548406124115,0.018119171261787415,1e-21,0.875,0.41988474130630493
133,0.9873323440551758,0.024053459987044334,1e-21,0.875,0.416532963514328
